Type,Threads,Total-Time,Thread-Id,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
skew01/part01,1,244.21,0,13459471360.00,48165.43,22954399744.00,15482472448.00,310551845,178007712,0,0,342,178001578,346
sorted01/part01,1,167.54,0,13367538688.00,46231.53,21624436736.00,13117359104.00,295907402,178010337,0,0,0,178002915,0
skew02/part01,2,244.11,0,25101299712.00,227364.55,39834415104.00,14784641024.00,145515557,89004638,2489151,427405,174,89001041,175
skew02/part02,2,244.11,1,25495152640.00,162475.19,38842601472.00,15212531712.00,148026011,89003126,1984298,304703,139,89000579,139
sorted02/part01,2,223.48,0,30542331904.00,73824.79,41116356608.00,15308298240.00,143149277,89001007,2724919,4973070,5,89000060,5
sorted02/part02,2,223.48,1,33802426368.00,531653.75,46102151168.00,15604810752.00,135029752,89005960,8799554,6082759,0,89001714,1
skew04/part01,4,205.89,0,34069549056.00,1066064.12,50626695168.00,12209650688.00,78135912,44502631,5498847,399853,128,44500103,471
skew04/part02,4,205.89,1,34650210304.00,1483519.62,50921242624.00,10705936384.00,77914984,44502486,5799897,533718,84,44500243,334
skew04/part03,4,205.89,2,28015673344.00,627182.75,41487835136.00,12723068928.00,78187325,44501463,4191111,343030,56,44499929,310
skew04/part04,4,205.89,3,35846926336.00,992421.38,52422176768.00,11302780928.00,78088313,44503402,5515647,516391,112,44498986,1502
sorted04/part01,4,81.76,0,13198550016.00,282142.44,18833094656.00,18693357568.00,70861017,44501410,5154421,14558253,23,44500298,24
sorted04/part02,4,81.76,1,13286194176.00,833655.69,18446987264.00,7199194112.00,67175190,44504452,4895409,3527955,0,44501348,0
sorted04/part03,4,81.76,2,12736874496.00,61552.62,17721575424.00,15968545792.00,70129053,44500247,3767774,11983877,6,44499937,6
