Type,Threads,Total-Time,Thread-Id,Thread-Time,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
distinctset/rand01/part01,1,344.16,0,342.74,10470364160.00,57973.18,22517815296.00,23991277568.00,271568702,136073391,0,0,0,135972893,0
distinctset/sort01/part01,1,142.26,0,140.84,10424676352.00,60619.04,19854155776.00,9938350080.00,268986671,136123011,0,0,0,135989433,0
distinctset/rand02/part01,2,189.75,0,188.44,10723253248.00,81640.51,17417996288.00,12260958208.00,135784962,68037274,289768,15721,0,67986628,0
distinctset/rand02/part02,2,189.75,1,188.52,10502790144.00,86473.61,17188687872.00,12247011328.00,135781597,68036536,296283,14233,0,67986385,0
distinctset/sort02/part01,2,120.78,0,119.54,10571660288.00,2524.90,20552302592.00,29983395840.00,134488464,68047694,47455,22538256,0,67984233,3
distinctset/sort02/part02,2,120.78,1,119.55,10211141632.00,738425.94,20105723904.00,30089377792.00,134512777,68104423,44053,23010636,0,68005194,1
distinctset/rand04/part01,4,105.71,0,104.16,7547704832.00,108663.18,11692476416.00,6526400512.00,67895184,34018077,563333,18918,0,33993120,0
distinctset/rand04/part02,4,105.71,1,104.52,7749425664.00,106067.24,11915979776.00,6531485184.00,67891636,34018115,1185651,18557,0,33993125,2
distinctset/rand04/part03,4,105.71,2,104.58,7724229120.00,106788.39,11876008960.00,6525373440.00,67889291,34017944,1174234,23349,0,33993072,3
distinctset/rand04/part04,4,105.71,3,104.42,7632623616.00,108505.20,11788441600.00,6532400640.00,67889610,34018014,890791,24083,0,33993095,2
distinctset/sort04/part01,4,65.47,0,58.80,7772666368.00,32552.35,14870267904.00,3124928512.00,67310498,34146803,1907745,245760,0,34036013,0
distinctset/sort04/part02,4,65.47,1,58.96,7634378240.00,0.00,14708794368.00,3254990080.00,67293579,33980661,1666219,330587,0,33980661,0
distinctset/sort04/part03,4,65.47,2,64.33,7748224000.00,0.00,14715762688.00,9242041344.00,67297789,33980661,2879159,5433741,0,33980661,0
distinctset/sort04/part04,4,65.47,3,64.35,7706634752.00,1388124.38,14658361344.00,9148581888.00,67196986,34007135,2708212,5380464,0,33989317,1
distinctset/rand08/part01,8,63.96,0,62.46,7886105088.00,145909.94,10442734592.00,3607970816.00,33946311,17009272,2325879,27002,0,16996624,2
distinctset/rand08/part02,8,63.96,1,62.61,7780595712.00,200760.36,10355774464.00,3597441024.00,33946607,17009812,2745919,26086,0,16996805,2
distinctset/rand08/part03,8,63.96,2,62.61,7918696448.00,136222.55,10495127552.00,3614280192.00,33942584,17009347,2353730,26253,0,16996652,2
distinctset/rand08/part04,8,63.96,3,62.51,7848544768.00,174355.66,10408341504.00,3614435584.00,33945717,17008872,2248739,23970,0,16996497,0
distinctset/rand08/part05,8,63.96,4,62.61,7705230848.00,244321.72,10295676928.00,3623944704.00,33945855,17009289,2320190,26499,0,16996634,2
distinctset/rand08/part06,8,63.96,5,62.53,7832264192.00,198650.59,10417053696.00,3617124352.00,33945790,17009479,2447167,26577,0,16996699,1
distinctset/rand08/part07,8,63.96,6,62.81,8058508800.00,161842.36,10690347008.00,3617716480.00,33946252,17009332,3189564,23686,0,16996649,1
distinctset/rand08/part08,8,63.96,7,62.67,8241617920.00,217781.34,10822656000.00,3624704512.00,33946294,17009201,2499974,27001,0,16996597,6
distinctset/sort08/part01,8,51.38,0,50.26,10163556352.00,0.00,16325921792.00,6986223616.00,33569044,16990330,5754223,4415508,0,16990330,0
distinctset/sort08/part02,8,51.38,1,39.40,11458362368.00,2602882.00,13771573248.00,1603816960.00,33597330,17144570,4870849,9759,0,17041744,0
distinctset/sort08/part03,8,51.38,2,50.26,10394704896.00,0.00,16384802816.00,7991447552.00,33569685,16990330,5531802,5225976,0,16990330,0
distinctset/sort08/part04,8,51.38,3,50.26,10383906816.00,0.00,16860337152.00,7641138688.00,33573102,16990331,7319075,4921490,0,16990331,0
distinctset/sort08/part05,8,51.38,4,50.26,10444549120.00,0.00,16885603328.00,7308643328.00,33568927,16990330,7453508,4662697,0,16990330,0
distinctset/sort08/part06,8,51.38,5,50.26,10582060032.00,0.00,16677155840.00,7774493184.00,33572659,16990331,6081119,4976025,0,16990331,0
distinctset/sort08/part07,8,51.38,6,50.23,10802322432.00,0.00,16505194496.00,7006462464.00,33572406,16990330,5483550,4434519,0,16990330,0
distinctset/sort08/part08,8,51.38,7,50.25,10884331520.00,0.00,16554928128.00,6266188800.00,33570333,16990337,5535041,3829698,0,16990333,0
distinctset/rand16/part01,16,224.06,0,218.06,156452077568.00,1566233.25,158885134336.00,2436107264.00,16968944,8505047,49905885,11122,0,8498450,1
distinctset/rand16/part02,16,224.06,1,215.45,154080608256.00,1257280.00,156502491136.00,2429883136.00,16973736,8505251,49533086,11548,0,8498518,1
distinctset/rand16/part03,16,224.06,2,218.46,157474144256.00,1108067.00,159908855808.00,2432783360.00,16972533,8504899,49734940,11868,0,8498401,2
distinctset/rand16/part04,16,224.06,3,217.44,155660058624.00,1582938.38,158069604352.00,2448868864.00,16973224,8505291,50019908,10473,0,8498533,1
distinctset/rand16/part05,16,224.06,4,217.17,155902738432.00,1819532.50,158309285888.00,2442554368.00,16973710,8505153,50191735,12132,0,8498486,3
distinctset/rand16/part06,16,224.06,5,216.32,154148749312.00,1351553.88,156560211968.00,2445449728.00,16971609,8504940,49506548,10721,0,8498415,2
distinctset/rand16/part07,16,224.06,6,206.65,143119466496.00,1841567.88,145473863680.00,2437185792.00,16975198,8505406,45806309,11831,0,8498569,2
distinctset/rand16/part08,16,224.06,7,222.95,161612480512.00,1534776.62,163958603776.00,2409357056.00,16969399,8504089,47166116,12209,0,8498129,3
distinctset/rand16/part09,16,224.06,8,205.51,141441024000.00,1480982.00,143724724224.00,2519240448.00,16977562,8504998,46624080,12494,0,8498435,2
distinctset/rand16/part10,16,224.06,9,221.30,158866489344.00,1739077.38,161089044480.00,2529928448.00,16976452,8503669,48694540,8173,0,8497993,2
distinctset/rand16/part11,16,224.06,10,221.57,159310544896.00,1425361.62,161549893632.00,2518556160.00,16963570,8504168,48347743,13693,0,8498156,1
distinctset/rand16/part12,16,224.06,11,221.86,160539295744.00,1120924.12,162763603968.00,2509546752.00,16966605,8503984,48399676,14466,0,8498094,2
distinctset/rand16/part13,16,224.06,12,220.70,158002069504.00,1504024.75,160246087680.00,2525454336.00,16975406,8504689,48588109,10256,0,8498334,1
distinctset/rand16/part14,16,224.06,13,222.76,161442922496.00,1225040.88,163647733760.00,2490624512.00,16971290,8503757,48070364,9832,0,8498023,2
distinctset/rand16/part15,16,224.06,14,220.47,156962291712.00,1592741.12,159216926720.00,2503375872.00,16977213,8503921,48106919,8556,0,8498072,4
distinctset/rand16/part16,16,224.06,15,221.72,158949048320.00,1254922.62,161166589952.00,2508075776.00,16976715,8503600,48398240,7283,0,8497973,1
distinctset/sort16/part01,16,251.76,0,244.86,186818035712.00,899569.94,205229260800.00,1100249984.00,16747789,8513767,64373453,49313,0,8501334,5
distinctset/sort16/part02,16,251.76,1,247.21,189299359744.00,11011.99,209071554560.00,1055076736.00,16749570,8495650,64085329,27428,0,8495323,2
distinctset/sort16/part03,16,251.76,2,220.72,162074148864.00,4025465.25,181067595776.00,1097571968.00,16764072,8583294,59623986,41909,0,8524511,5
distinctset/sort16/part04,16,251.76,3,244.85,187521646592.00,153796.80,206595309568.00,1034013888.00,16745481,8499190,64794416,22310,0,8496501,3
distinctset/sort16/part05,16,251.76,4,230.98,168185561088.00,872993.31,187700396032.00,1280296064.00,16715381,8496346,60617166,100348,0,8495536,5
distinctset/sort16/part06,16,251.76,5,244.42,185672220672.00,676209.31,204504825856.00,1003846208.00,16736273,8505339,64146015,12451,0,8498541,4
distinctset/sort16/part07,16,251.76,6,249.28,190043226112.00,321567.09,209402953728.00,1036912704.00,16748993,8495262,61195398,27898,0,8495185,6
distinctset/sort16/part08,16,251.76,7,250.67,192633208832.00,166414.06,211835355136.00,1000878528.00,16758663,8495224,60657625,30143,0,8495179,1
distinctset/sort16/part09,16,251.76,8,248.68,191801393152.00,0.00,211011436544.00,1031687232.00,16753817,8495637,61587842,26956,0,8495315,4
distinctset/sort16/part10,16,251.76,9,249.10,192528482304.00,64502.18,211235160064.00,1049031872.00,16746799,8496295,61198947,29595,0,8495528,7
distinctset/sort16/part11,16,251.76,10,231.86,169557901312.00,233599.12,188938125312.00,1220462464.00,16713748,8495822,57937920,95818,0,8495371,0
distinctset/sort16/part12,16,251.76,11,248.88,192448970752.00,11479921.00,211674644480.00,967490368.00,16719858,8498481,61250085,8353,0,8496258,6
distinctset/sort16/part13,16,251.76,12,237.29,178639175680.00,208793.02,197751209984.00,1005569024.00,16719133,8499699,59601045,14286,0,8496665,4
distinctset/sort16/part14,16,251.76,13,250.58,194646065152.00,409242.34,214021849088.00,1021662016.00,16752045,8495278,60425309,38741,0,8495194,3
distinctset/sort16/part15,16,251.76,14,250.41,193503019008.00,0.00,212601880576.00,986167104.00,16762893,8495175,60015966,24286,0,8495164,1
distinctset/sort16/part16,16,251.76,15,249.60,191394627584.00,0.00,210536890368.00,1036483328.00,16758735,8495180,60743128,26138,0,8495164,2
distinctset/rand32/part01,32,386.83,0,371.91,298113925120.00,2343448.00,299847974912.00,1586136960.00,8485020,4252769,34448053,12248,0,4249306,0
distinctset/rand32/part02,32,386.83,1,384.20,313513050112.00,2567771.25,315229798400.00,1570088960.00,8486063,4251871,34441756,10628,0,4249006,1
distinctset/rand32/part03,32,386.83,2,384.84,314489110528.00,2129475.25,316197371904.00,1575289216.00,8485088,4251759,34406284,13053,0,4248969,1
distinctset/rand32/part04,32,386.83,3,385.74,316564799488.00,1711805.00,318259200000.00,1565805568.00,8485236,4252272,34214743,12775,0,4249139,2
distinctset/rand32/part05,32,386.83,4,384.49,312728453120.00,2250910.25,314444087296.00,1585594496.00,8483370,4252982,34650590,14328,0,4249374,1
distinctset/rand32/part06,32,386.83,5,384.64,314019643392.00,1486252.12,315732983808.00,1570925568.00,8485915,4251585,34403761,12135,0,4248908,3
distinctset/rand32/part07,32,386.83,6,385.41,316452634624.00,1735045.88,318155751424.00,1577551744.00,8485797,4251989,33899540,13939,0,4249046,1
distinctset/rand32/part08,32,386.83,7,373.64,298929127424.00,2783880.50,300666093568.00,1589506688.00,8480331,4251771,34028113,14517,0,4248970,3
distinctset/rand32/part09,32,386.83,8,382.22,304672997376.00,2061065.12,306517606400.00,1592489344.00,8488158,4252040,34645271,2946,0,4249066,0
distinctset/rand32/part10,32,386.83,9,327.63,246899605504.00,3012720.50,248769167360.00,1628456064.00,8486412,4253357,29482836,4271,0,4249505,0
distinctset/rand32/part11,32,386.83,10,375.79,298592960512.00,2505790.75,300447399936.00,1610899712.00,8487726,4252503,34429943,6948,0,4249220,0
distinctset/rand32/part12,32,386.83,11,341.59,261252104192.00,1484290.38,263121764352.00,1628966400.00,8486087,4252712,30786905,9578,0,4249289,0
