Type,Threads,Total-Time,Thread-Id,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
largeset/skew01/part01,1,1111.11,0,57779007488.00,51503.46,110725627904.00,72112463872.00,1459633898,752514221,0,0,0,752501567,0
largeset/skew02/part01,2,1256.35,0,115957555200.00,191284.44,197072060416.00,71362011136.00,730063659,376257509,5709428,975868,0,376250905,0
largeset/skew02/part02,2,1256.35,1,132685635584.00,178887.30,216957665280.00,70939713536.00,729446172,376256800,4580647,1174500,0,376250668,0
largeset/skew04/part01,4,1036.23,0,133391073280.00,721703.69,215847862272.00,54366199808.00,364181203,188128816,15282205,1703876,0,188125469,0
largeset/skew04/part02,4,1036.23,1,144124575744.00,710729.62,226329788416.00,53803683840.00,364116153,188128608,18924504,1767121,0,188125394,2
largeset/skew04/part03,4,1036.23,2,139196596224.00,882808.06,219678113792.00,52753547264.00,364274144,188128324,19613836,1861127,0,188125302,0
largeset/skew04/part04,4,1036.23,3,138513072128.00,722617.00,222236049408.00,54981734400.00,364127407,188128789,17409398,1738007,0,188125457,1
largeset/skew08/part01,8,846.83,0,189268967424.00,2813352.25,253063675904.00,33585000448.00,182234942,94065001,31193639,1676577,0,94062925,2
largeset/skew08/part02,8,846.83,1,212176617472.00,2530385.00,278275555328.00,33870678016.00,182368848,94063655,21630476,1356931,0,94062479,0
largeset/skew08/part03,8,846.83,2,209400201216.00,3756589.00,275250642944.00,33531502592.00,182526131,94063801,21842743,1397386,0,94062523,2
largeset/skew08/part04,8,846.83,3,189829513216.00,2950999.00,256503676928.00,32870152192.00,182290478,94064755,28595529,1493600,0,94062848,0
largeset/skew08/part05,8,846.83,4,188778004480.00,3723263.75,253617504256.00,32698914816.00,182294818,94064783,27858050,1330362,0,94062852,1
largeset/skew08/part06,8,846.83,5,190830788608.00,561764.19,254258331648.00,33361879040.00,182192135,94063101,31457714,1703451,0,94062296,1
largeset/skew08/part07,8,846.83,6,187171078144.00,1508147.25,253478715392.00,34818568192.00,182585909,94064084,29076038,1703422,0,94062622,1
largeset/skew08/part08,8,846.83,7,186316947456.00,2145647.00,252454535168.00,34898849792.00,182301330,94064817,28996102,1655244,0,94062862,1
largeset/skew16/part01,16,933.03,0,376286904320.00,1235635.75,414287822848.00,17779365888.00,91961482,47032196,55989198,811364,0,47031360,0
largeset/skew16/part02,16,933.03,1,373813084160.00,2176617.25,412867657728.00,17228974080.00,91749648,47032878,58030439,865176,0,47031592,0
largeset/skew16/part03,16,933.03,2,386785673216.00,949941.88,424424407040.00,17609312256.00,91773741,47031764,52597215,784711,0,47031218,0
largeset/skew16/part04,16,933.03,3,386614493184.00,1134893.50,424840331264.00,17338726400.00,91680502,47032116,58252979,785439,0,47031334,1
largeset/skew16/part05,16,933.03,4,365100597248.00,1407757.88,403641171968.00,17082091520.00,91673986,47032124,47897571,800377,0,47031332,0
largeset/skew16/part06,16,933.03,5,381073915904.00,1037210.81,419055599616.00,17144996864.00,91809421,47031820,49432538,742616,0,47031237,0
largeset/skew16/part07,16,933.03,6,374777905152.00,1344938.62,413425008640.00,17813106688.00,91882727,47032205,56498138,749290,0,47031366,0
largeset/skew16/part08,16,933.03,7,369725767680.00,1042633.31,409492160512.00,17327583232.00,91696328,47032428,56132484,857946,0,47031441,0
largeset/skew16/part09,16,933.03,8,373331492864.00,1651653.88,411504312320.00,17454485504.00,91950655,47032354,52810419,727626,0,47031412,0
