Type,Threads,Total-Time,Thread-Id,Thread-Time,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
largeset/skew01/part01,1,1112.19,0,1108.72,58093416448.00,49037.58,110810013696.00,71180361728.00,1459633898,752514221,0,0,0,752501567,0
largeset/skew02/part01,2,664.25,0,657.84,61195116544.00,159672.05,104123711488.00,40235008000.00,726032147,376257450,4244037,878305,0,376250880,0
largeset/skew02/part02,2,664.25,1,662.29,62576939008.00,173032.23,105276497920.00,40417665024.00,726293393,376257140,1623730,974879,0,376250779,0
largeset/skew04/part01,4,405.57,0,402.27,52902535168.00,282337.75,85414625280.00,23980449792.00,364250946,188128708,14791361,1394900,0,188125426,0
largeset/skew04/part02,4,405.57,1,402.18,52986363904.00,393018.38,85750349824.00,23962556416.00,364299648,188128820,16343990,1373554,0,188125461,2
largeset/skew04/part03,4,405.57,2,400.46,52727554048.00,428668.88,84877606912.00,23799470080.00,364323993,188128496,13751545,1380741,0,188125353,3
largeset/skew04/part04,4,405.57,3,403.99,52598530048.00,382570.47,85381070848.00,24111583232.00,364297402,188128533,16471949,1372654,0,188125365,1
largeset/skew08/part01,8,284.45,0,281.85,64708952064.00,379642.56,88633196544.00,14638221312.00,183023424,94065299,28359983,1265563,0,94063019,2
largeset/skew08/part02,8,284.45,1,279.29,63624237056.00,259784.47,87471833088.00,14558152704.00,182898004,94063907,33210712,1233255,0,94062552,1
largeset/skew08/part03,8,284.45,2,282.67,65711497216.00,344364.38,89019457536.00,14632985600.00,183051616,94063752,29450064,1221531,0,94062503,0
largeset/skew08/part04,8,284.45,3,275.40,62587269120.00,350372.28,87027466240.00,14468609024.00,182936341,94064715,34639020,1317476,0,94062820,1
largeset/skew08/part05,8,284.45,4,281.85,65233768448.00,516282.03,88304361472.00,14357345280.00,183047494,94064634,27815933,1124806,0,94062797,1
largeset/skew08/part06,8,284.45,5,281.54,65903194112.00,85752.16,89901129728.00,14753557504.00,182934555,94063104,29392002,1321057,0,94062284,1
largeset/skew08/part07,8,284.45,6,279.56,63689285632.00,452425.09,87065780224.00,15198182400.00,182982589,94064187,28375558,1340086,0,94062649,0
largeset/skew08/part08,8,284.45,7,279.49,64583553024.00,327049.41,87752744960.00,14965209088.00,182938225,94064386,32128737,1316116,0,94062712,1
largeset/skew16/part01,16,1334.48,0,1307.27,969294479360.00,1281607.00,984406491136.00,11516803072.00,91852589,47032371,299227630,236653,0,47031420,0
largeset/skew16/part02,16,1334.48,1,1295.00,959893143552.00,2817741.00,975202811904.00,11220173824.00,91793065,47032851,298816677,239788,0,47031578,1
largeset/skew16/part03,16,1334.48,2,1321.91,989768384512.00,760629.31,1004629327872.00,11479654400.00,91975588,47031674,298360174,224805,0,47031181,1
largeset/skew16/part04,16,1334.48,3,1201.14,861271556096.00,1239587.62,876397854720.00,11424408576.00,91492509,47032441,277932720,229585,0,47031443,0
largeset/skew16/part05,16,1334.48,4,1298.67,965606309888.00,1023895.62,980761837568.00,11324360704.00,91808704,47031964,300477733,232191,0,47031279,1
largeset/skew16/part06,16,1334.48,5,1312.68,976694345728.00,630255.88,991553388544.00,11403333632.00,91895511,47031733,296909058,216655,0,47031205,0
largeset/skew16/part07,16,1334.48,6,1325.91,982072426496.00,926456.19,997047468032.00,11410653184.00,91996159,47032175,285267468,202688,0,47031350,0
largeset/skew16/part08,16,1334.48,7,1228.15,883237060608.00,827874.94,898649751552.00,11125512192.00,91568184,47032415,274124932,244730,0,47031433,0
largeset/skew16/part09,16,1334.48,8,1282.59,942677295104.00,1422331.00,956469805056.00,11338902528.00,91677820,47032405,291387175,198651,0,47031432,0
largeset/skew16/part10,16,1334.48,9,1328.59,1005040435200.00,1022018.62,1018667859968.00,10791599104.00,92000932,47032065,296206725,220594,0,47031320,1
largeset/skew16/part11,16,1334.48,10,1328.95,1006077280256.00,351382.75,1019649327104.00,10724891648.00,92005598,47031284,295056581,269217,0,47031058,0
largeset/skew16/part12,16,1334.48,11,1333.05,1021154426880.00,542454.44,1034235543552.00,10679169024.00,92126496,47031871,291329718,234008,0,47031255,0
largeset/skew16/part13,16,1334.48,12,1331.14,1013900050432.00,899622.50,1027215982592.00,10899092480.00,92071178,47031907,291667401,235562,0,47031267,0
largeset/skew16/part14,16,1334.48,13,1238.53,896442499072.00,1156428.88,910416347136.00,11206222848.00,91542455,47032376,283687632,246211,0,47031423,0
largeset/skew16/part15,16,1334.48,14,1329.31,996943200256.00,1441007.50,1010672271360.00,11005082624.00,91998065,47032420,292689212,246351,0,47031438,0
largeset/skew16/part16,16,1334.48,15,1330.24,995938861056.00,1409816.62,1009403101184.00,11067421696.00,92023081,47032170,289850117,226299,0,47031353,0
largeset/skew32/part01,32,1986.86,0,1962.09,1519821783040.00,1000623.25,1530113556480.00,9013058560.00,45944251,23515974,174793336,196799,0,23515638,2
largeset/skew32/part02,32,1986.86,1,1980.92,1562557546496.00,2448155.50,1572777623552.00,8856301568.00,45562962,23516286,174284087,205348,0,23515741,1
largeset/skew32/part03,32,1986.86,2,1969.11,1532528427008.00,4568072.00,1542677200896.00,8825375744.00,45384242,23516970,175023280,217080,0,23515968,2
largeset/skew32/part04,32,1986.86,3,1976.34,1548771524608.00,943784.88,1558984654848.00,8677140480.00,45910926,23515901,175598820,208864,0,23515615,0
largeset/skew32/part05,32,1986.86,4,1878.53,1423408889856.00,1458946.38,1433541279744.00,9052487680.00,45662763,23515871,171705656,199265,0,23515602,2
largeset/skew32/part06,32,1986.86,5,1966.07,1524745764864.00,2393815.25,1534986027008.00,9040434176.00,45972344,23515852,174342904,192015,0,23515597,1
largeset/skew32/part07,32,1986.86,6,1949.54,1492667334656.00,1496571.25,1503040503808.00,8882109440.00,45911568,23515947,171284520,207219,0,23515627,3
largeset/skew32/part08,32,1986.86,7,1985.21,1570253963264.00,2061568.50,1580670255104.00,8707858432.00,45987315,23516132,168849854,208358,0,23515692,1
largeset/skew32/part09,32,1986.86,8,1585.95,1113214812160.00,2949002.00,1123500818432.00,9136555008.00,45242049,23516269,140164822,255406,0,23515732,2
largeset/skew32/part10,32,1986.86,9,1916.97,1470587600896.00,2212597.50,1481091842048.00,8829306880.00,45751246,23515984,174729853,271964,0,23515638,2
largeset/skew32/part11,32,1986.86,10,1955.59,1508253892608.00,545856.56,1518829961216.00,8879969280.00,45845968,23515837,177759794,251498,0,23515593,1
largeset/skew32/part12,32,1986.86,11,1954.55,1506080325632.00,1992786.12,1516620087296.00,8879213568.00,45844267,23515976,177454882,237471,0,23515638,1
largeset/skew32/part13,32,1986.86,12,1755.32,1290381950976.00,1235360.50,1300845428736.00,8971704320.00,45491502,23516174,156608400,230614,0,23515701,1
largeset/skew32/part14,32,1986.86,13,1949.88,1506552578048.00,1624219.75,1517162070016.00,8935500800.00,45826253,23516018,177216347,258152,0,23515650,2
largeset/skew32/part15,32,1986.86,14,1931.63,1503711854592.00,1870748.62,1514385571840.00,8688455680.00,45800979,23516108,178866622,280963,0,23515683,1
largeset/skew32/part16,32,1986.86,15,1804.78,1359377072128.00,1227569.75,1369993248768.00,8642716672.00,45576940,23516365,164048810,287463,0,23515766,3
largeset/skew32/part17,32,1986.86,16,1963.91,1515024809984.00,4926418.00,1525775597568.00,8909697024.00,45854694,23516219,176120291,226871,0,23515719,1
largeset/skew32/part18,32,1986.86,17,1930.53,1482553294848.00,2435117.00,1493260304384.00,8903829504.00,45758932,23516076,174180089,221280,0,23515670,2
largeset/skew32/part19,32,1986.86,18,1959.83,1518237384704.00,864147.88,1528959860736.00,8780887040.00,45836015,23516149,176156505,226828,0,23515697,1
largeset/skew32/part20,32,1986.86,19,1765.78,1303276552192.00,2751115.75,1313708703744.00,8787559424.00,45503399,23516240,157027146,202042,0,23515726,1
largeset/skew32/part21,32,1986.86,20,1961.53,1521080336384.00,649210.44,1531813560320.00,8717939712.00,45849265,23515601,176624892,277762,0,23515514,0
largeset/skew32/part22,32,1986.86,21,1954.37,1515529043968.00,816995.44,1526223994880.00,8692958208.00,45817093,23515740,176539378,266421,0,23515559,1
largeset/skew32/part23,32,1986.86,22,1860.26,1400348737536.00,708446.62,1410997551104.00,8941486080.00,45632769,23515939,164204349,244714,0,23515624,2
largeset/skew32/part24,32,1986.86,23,1619.65,1140560887808.00,1438870.62,1151125422080.00,9209593856.00,45267797,23515973,140526995,243022,0,23515637,0
largeset/skew32/part25,32,1986.86,24,1968.00,1447156383744.00,1397304.62,1457890787328.00,9564509184.00,45717767,23515916,149523108,225457,0,23515618,2
largeset/skew32/part26,32,1986.86,25,1860.34,1327615311872.00,1950963.75,1338228473856.00,9663695872.00,45531187,23515988,143141710,223214,0,23515645,0
largeset/skew32/part27,32,1986.86,26,1985.12,1516953403392.00,1306008.62,1527344005120.00,8828468224.00,45947776,23516069,148022120,275260,0,23515669,1
largeset/skew32/part28,32,1986.86,27,1982.53,1502321573888.00,2087767.00,1512916385792.00,9008737280.00,45808228,23516441,150137040,284825,0,23515791,2
largeset/skew32/part29,32,1986.86,28,1985.29,1512924119040.00,2528049.25,1523365838848.00,8750501888.00,45954831,23516212,147961212,277989,0,23515715,3
largeset/skew32/part30,32,1986.86,29,1985.63,1510130319360.00,3050724.25,1520434675712.00,8950060032.00,45960648,23516158,147195763,247786,0,23515698,2
largeset/skew32/part31,32,1986.86,30,1977.73,1468086616064.00,2523017.00,1478746701824.00,9401771008.00,45805678,23516123,148047804,220636,0,23515685,3
largeset/skew32/part32,32,1986.86,31,1985.08,1509206917120.00,3212211.75,1519600533504.00,8993827840.00,45942892,23516114,147037303,232617,0,23515685,2
