Type,Threads,Total-Time,Thread-Id,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
smallset/skew01/part01,1,248.77,0,13854355456.00,49014.39,23628935168.00,15778107392.00,310634620,178007372,0,0,0,178001926,0
smallset/sorted01/part01,1,164.82,0,13575846912.00,46641.45,21925187584.00,13128836096.00,295907393,178010324,0,0,0,178002910,0
smallset/skew02/part01,2,270.67,0,26125754368.00,207618.19,43730259968.00,17781147648.00,144625409,89004231,3655540,508501,0,89001134,0
smallset/skew02/part02,2,270.67,1,26778089472.00,181346.47,43663384576.00,17837795328.00,147122859,89003094,1265001,307002,0,89000752,0
smallset/sorted02/part01,2,161.88,0,20668821504.00,444418.59,29236779008.00,15188118528.00,137784249,89006035,4386704,6699769,0,89001739,1
smallset/sorted02/part02,2,161.88,1,19485386752.00,247008.64,28987121664.00,15010542592.00,140891201,89001491,2261139,6264062,0,89000217,1
smallset/skew04/part01,4,239.01,0,30930253824.00,442185.00,50864435200.00,13588703232.00,78197122,44502132,5229825,544264,0,44500564,0
smallset/skew04/part02,4,239.01,1,28716292096.00,767389.44,50616692736.00,13149801472.00,78228390,44502234,4181430,540135,0,44500601,1
smallset/skew04/part03,4,239.01,2,31997558784.00,326110.44,51803738112.00,14013829120.00,78028530,44501098,4324859,521924,0,44500215,2
smallset/skew04/part04,4,239.01,3,28596891648.00,551923.62,48161353728.00,13732952064.00,78385162,44502361,3605461,452877,0,44500637,2
smallset/sorted04/part01,4,211.17,0,32734756864.00,2005876.38,47365013504.00,16628465664.00,68198869,44504889,7403953,5341085,0,44501495,0
smallset/sorted04/part02,4,211.17,1,34755665920.00,642947.25,49050099712.00,36413386752.00,70663285,44500743,5111716,21289208,0,44500109,0
smallset/sorted04/part03,4,211.17,2,34535829504.00,236679.17,49088090112.00,39754829824.00,71026012,44500551,7950347,23294170,0,44500040,1
smallset/sorted04/part04,4,211.17,3,26198771712.00,572778.38,39365767168.00,34013962240.00,71206159,44501436,3852262,15612953,0,44500336,1
smallset/skew08/part01,8,201.14,0,44054986752.00,1707438.50,60365066240.00,9202084864.00,39272935,22250937,7611151,443119,0,22250234,0
smallset/skew08/part02,8,201.14,1,43435515904.00,2572827.00,60049428480.00,9206497280.00,39168363,22251085,7379127,424436,0,22250283,1
smallset/skew08/part03,8,201.14,2,52114554880.00,6238191.00,71309115392.00,9298314240.00,39330198,22251772,5044074,469889,0,22250513,0
smallset/skew08/part04,8,201.14,3,52039610368.00,1560345.75,69910994944.00,9183360000.00,39306303,22250593,5502282,474606,0,22250118,1
smallset/skew08/part05,8,201.14,4,45328736256.00,1229107.00,61765861376.00,9068316672.00,38958456,22250655,8284412,494049,0,22250137,1
smallset/skew08/part06,8,201.14,5,45505560576.00,2504142.75,62148542464.00,9222017024.00,39047671,22250804,8095108,471723,0,22250191,0
smallset/skew08/part07,8,201.14,6,43233247232.00,1894957.38,59335950336.00,9596028928.00,39148339,22250919,7724621,419199,0,22250228,0
smallset/skew08/part08,8,201.14,7,43447595008.00,1722942.88,59590078464.00,9552836608.00,39289940,22251123,7631365,421216,0,22250299,0
smallset/sorted08/part01,8,242.84,0,40022941696.00,4314241.00,53380960256.00,78453399552.00,34684418,22250911,5130536,25827424,0,22250220,2
smallset/sorted08/part02,8,242.84,1,41505787904.00,1461613.50,53675966464.00,79722348544.00,34982104,22250753,5010731,25518287,0,22250173,1
smallset/sorted08/part03,8,242.84,2,39582277632.00,5221015.50,52479545344.00,81085833216.00,34505359,22251909,6176741,26036113,0,22250547,3
smallset/sorted08/part04,8,242.84,3,40183562240.00,775265.31,52729548800.00,79493005312.00,34569298,22250311,6351886,26601465,0,22250021,2
smallset/sorted08/part05,8,242.84,4,39355240448.00,1221324.12,52164714496.00,81454866432.00,34815650,22250369,6102307,26354798,0,22250045,1
smallset/sorted08/part06,8,242.84,5,39621365760.00,496639.50,51049852928.00,65831030784.00,34005166,22250083,6311740,20171572,0,22249950,1
smallset/sorted08/part07,8,242.84,6,38285004800.00,12294883.00,49848328192.00,52803829760.00,33670151,22253128,4932023,16483010,0,22250947,0
smallset/sorted08/part08,8,242.84,7,40079892480.00,836713.25,51042095104.00,71206068224.00,34118066,22250377,4791802,23823386,0,22250024,3
smallset/skew16/part01,16,222.83,0,93899366400.00,1389212.62,105445736448.00,4674324992.00,19147181,11125455,13252285,229464,0,11125112,0
smallset/skew16/part02,16,222.83,1,93675094016.00,1305314.38,105598050304.00,4555717120.00,19680783,11125490,13978646,224310,0,11125124,0
smallset/skew16/part03,16,222.83,2,95291793408.00,952609.00,106994720768.00,5181311488.00,19466867,11125400,13029759,202898,0,11125091,1
smallset/skew16/part04,16,222.83,3,91996790784.00,1182763.12,104365375488.00,4675256832.00,19444350,11125576,14992002,243146,0,11125152,0
smallset/skew16/part05,16,222.83,4,89741811712.00,2178084.00,103677485056.00,4595242496.00,19276570,11125909,14712041,254430,0,11125264,0
smallset/skew16/part06,16,222.83,5,90617462784.00,2220533.25,104348106752.00,4580092416.00,19355163,11125747,14830268,254848,0,11125208,0
smallset/skew16/part07,16,222.83,6,89031278592.00,1065771.75,101214519296.00,4632927232.00,19421005,11125359,14445644,237174,0,11125082,0
smallset/skew16/part08,16,222.83,7,93405151232.00,766769.94,105303556096.00,4657730048.00,19509885,11125252,14856235,242062,0,11125045,0
smallset/skew16/part09,16,222.83,8,92462931968.00,739828.25,104268922880.00,4663312896.00,19416738,11125397,14798763,239483,0,11125096,0
smallset/skew16/part10,16,222.83,9,86788677632.00,1108764.12,99067576320.00,4799053824.00,19207318,11125341,14230817,224619,0,11125074,0
smallset/skew16/part11,16,222.83,10,93510746112.00,991986.88,104996610048.00,4766681600.00,19247282,11125265,12941547,210685,0,11125048,0
smallset/skew16/part12,16,222.83,11,93089005568.00,1161164.25,105023660032.00,4639578112.00,19749976,11125378,13787587,226860,0,11125084,2
smallset/skew16/part13,16,222.83,12,91799068672.00,1218387.50,103750344704.00,4798052864.00,19484385,11125406,14716932,221489,0,11125096,0
smallset/skew16/part14,16,222.83,13,93290708992.00,1221759.88,105102467072.00,4537373696.00,19761252,11125541,13747584,213193,0,11125137,1
smallset/skew16/part15,16,222.83,14,93269352448.00,1052807.88,105027534848.00,4493955584.00,19789017,11125483,13764249,210650,0,11125119,1
smallset/skew16/part16,16,222.83,15,95187689472.00,1657759.75,106701406208.00,5211932672.00,19509024,11125642,12177446,184098,0,11125177,0
smallset/sorted16/part01,16,297.94,0,83382124544.00,534343.62,96747511808.00,101958647808.00,18685717,11125359,13864658,23586819,0,11125076,2
smallset/sorted16/part02,16,297.94,1,81727987712.00,1021242.31,93988118528.00,84578099200.00,17550150,11125664,14044162,18822606,0,11125179,3
smallset/sorted16/part03,16,297.94,2,83126878208.00,902321.31,96595222528.00,103846420480.00,18382016,11125409,13645896,24081756,0,11125094,2
smallset/sorted16/part04,16,297.94,3,84256210944.00,826669.81,97981071360.00,103704207360.00,18370562,11125407,14300851,23949290,0,11125087,3
smallset/sorted16/part05,16,297.94,4,80963387392.00,5092441.00,92790308864.00,69409021952.00,16209298,11127388,13277845,14892793,0,11125749,1
smallset/sorted16/part06,16,297.94,5,84741922816.00,1376931.88,98629058560.00,101856845824.00,18318664,11125595,14388833,23347576,0,11125154,1
smallset/sorted16/part07,16,297.94,6,81982570496.00,541550.31,94585487360.00,101607915520.00,18029735,11125241,14017841,23479677,0,11125039,1
smallset/sorted16/part08,16,297.94,7,83361316864.00,226999.55,95928655872.00,72526209024.00,17334030,11125186,13307659,14961870,0,11125024,1
smallset/sorted16/part09,16,297.94,8,82390958080.00,629700.69,94801952768.00,80829521920.00,17616534,11125280,14280745,17752154,0,11125055,1
smallset/sorted16/part10,16,297.94,9,82957467648.00,571151.38,95052595200.00,94921138176.00,18222843,11125262,13268788,21662518,0,11125040,2
smallset/sorted16/part11,16,297.94,10,84418732032.00,818966.44,97436303360.00,102385983488.00,18319904,11125227,13954468,22789999,0,11125029,3
smallset/sorted16/part12,16,297.94,11,82724872192.00,440493.62,95348858880.00,80821329920.00,18200506,11125278,13167446,17236762,0,11125048,3
smallset/sorted16/part13,16,297.94,12,85457723392.00,472567.78,98658263040.00,102715785216.00,18812236,11125244,13764023,22739742,0,11125038,4
smallset/sorted16/part14,16,297.94,13,83740270592.00,410005.66,96679190528.00,101783003136.00,18877186,11125303,13494959,22748701,0,11125057,5
smallset/sorted16/part15,16,297.94,14,81603960832.00,1698276.88,93693714432.00,70033055744.00,16338727,11125689,13167857,14260606,0,11125180,2
smallset/sorted16/part16,16,297.94,15,85274558464.00,1142822.25,97527046144.00,71456038912.00,17323063,11125359,13258777,14793820,0,11125083,2
smallset/skew32/part01,32,467.20,0,341843542016.00,2099641.25,345095405568.00,2558635008.00,9862218,5562835,38360862,89571,0,5562587,2
smallset/skew32/part02,32,467.20,1,350867619840.00,2226085.50,354067480576.00,2423450368.00,9782204,5562799,41183266,83756,0,5562577,2
smallset/skew32/part03,32,467.20,2,353132052480.00,1635584.38,356481269760.00,2593701888.00,9816907,5562758,40226722,99063,0,5562561,2
smallset/skew32/part04,32,467.20,3,354276114432.00,2354432.25,357657706496.00,2665392128.00,9992865,5562794,36821139,98668,0,5562573,2
smallset/skew32/part05,32,467.20,4,353481687040.00,1528404.50,356844765184.00,2632575744.00,9968331,5562744,36791943,80591,0,5562559,0
smallset/skew32/part06,32,467.20,5,309738307584.00,1949944.75,313041584128.00,2810747392.00,9629742,5562910,35661818,98552,0,5562611,2
smallset/skew32/part07,32,467.20,6,351677612032.00,900167.31,355365879808.00,2714595072.00,9964889,5562734,36618078,96078,0,5562557,0
smallset/skew32/part08,32,467.20,7,367765356544.00,2421684.75,371519488000.00,2376491520.00,10030252,5562862,40169765,82357,0,5562601,0
