Type,Threads,Total-Time,Thread-Id,Thread-Time,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
smallset/skew01/part01,1,252.78,0,245.55,13766573056.00,48758.25,23349204992.00,15580044288.00,310634620,178007372,0,0,0,178001926,0
smallset/sorted01/part01,1,170.99,0,163.70,13627269120.00,46682.37,21985097728.00,13071384576.00,295907393,178010324,0,0,0,178002910,0
smallset/skew02/part01,2,152.33,0,148.17,15461310464.00,190632.48,23318728704.00,9370849280.00,147849122,89004585,980123,314595,0,89001254,0
smallset/skew02/part02,2,152.33,1,148.30,15549724672.00,139492.50,23462950912.00,9348425728.00,147394043,89003015,532610,339442,0,89000728,0
smallset/sorted02/part01,2,128.17,0,123.73,13626366976.00,124859.35,20449255424.00,23656931328.00,137808999,89005195,226579,17310886,0,89001450,0
smallset/sorted02/part02,2,128.17,1,124.07,12942588928.00,383091.44,19922991104.00,24293550080.00,138417427,89002642,731191,18134097,0,89000586,0
smallset/skew04/part01,4,94.07,0,92.78,12028389376.00,319342.19,20007254016.00,5675557376.00,78745933,44502355,4469372,365977,0,44500637,1
smallset/skew04/part02,4,94.07,1,91.66,12099881984.00,493083.50,20072966144.00,5633149440.00,78803145,44502109,4736878,389189,0,44500559,0
smallset/skew04/part03,4,94.07,2,92.10,11683098624.00,214164.03,19591340032.00,5670002176.00,78581503,44501165,4406451,363428,0,44500240,1
smallset/skew04/part04,4,94.07,3,92.77,11818654720.00,302284.38,19812413440.00,5628879872.00,78870398,44502016,4462379,349361,0,44500525,1
smallset/sorted04/part01,4,86.90,0,78.67,12393862144.00,275433.31,18450372608.00,13187772416.00,71446924,44501147,4207115,9243763,0,44500237,1
smallset/sorted04/part02,4,86.90,1,81.05,12292331520.00,222675.14,18129840128.00,15050649600.00,71550079,44501492,4895285,10834399,0,44500351,2
smallset/sorted04/part03,4,86.90,2,81.42,12333403136.00,160890.88,18381473792.00,15569425408.00,71762586,44500789,3853005,11398206,0,44500112,3
smallset/sorted04/part04,4,86.90,3,71.69,12910243840.00,729023.44,18567733248.00,6836430848.00,67956519,44504323,4272544,2953916,0,44501306,0
smallset/skew08/part01,8,67.69,0,66.50,16602222592.00,371698.22,22335803392.00,3561837312.00,38651959,22251038,8615466,369440,0,22250260,2
smallset/skew08/part02,8,67.69,1,65.76,16341583872.00,392322.44,22205284352.00,3516296960.00,38566841,22251124,8033367,382019,0,22250287,1
smallset/skew08/part03,8,67.69,2,66.09,16283806720.00,599074.38,22402134016.00,3559745792.00,38574534,22251861,9961740,412995,0,22250540,2
smallset/skew08/part04,8,67.69,3,65.61,16892079104.00,186290.25,22560122880.00,3554542848.00,38568194,22250521,8119419,397563,0,22250084,3
smallset/skew08/part05,8,67.69,4,66.19,16752748544.00,217014.86,22465062912.00,3562170112.00,38582666,22250430,8006960,377571,0,22250061,1
smallset/skew08/part06,8,67.69,5,66.43,16830475264.00,268367.78,22605355008.00,3540549120.00,38650393,22250631,8510951,367166,0,22250129,0
smallset/skew08/part07,8,67.69,6,65.92,16625442816.00,260224.53,22441385984.00,3537267456.00,38559662,22250970,10486969,367823,0,22250241,1
smallset/skew08/part08,8,67.69,7,65.22,16402282496.00,465810.09,22051563520.00,3498021120.00,38536613,22251088,8192961,356078,0,22250285,1
smallset/sorted08/part01,8,75.95,0,69.56,16211829760.00,162912.25,21984499712.00,17967667200.00,36283488,22250876,10344824,14005791,0,22250199,3
smallset/sorted08/part02,8,75.95,1,70.12,16902847488.00,175673.06,22741467136.00,17764194304.00,36667716,22250821,8417941,13661718,0,22250185,1
smallset/sorted08/part03,8,75.95,2,70.10,16433889280.00,361734.59,22356469760.00,18027208704.00,36445810,22251375,8905855,14011587,0,22250380,0
