Type,Threads,Total-Time,Thread-Id,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
skew01/part01,1,267.30,0,13465192448.00,49314.03,48148647936.00,13114576896.00,621099535,178007366,0,0,342,0,178001924
sorted01/part01,1,195.96,0,13369874432.00,46928.48,43327582208.00,13039624192.00,591812316,178010337,0,0,0,0,178002915
skew02/part01,2,313.07,0,31811405824.00,311231.03,83223937024.00,7870334464.00,289622556,89004357,1293968,176907,168,0,89001177
skew02/part02,2,313.07,1,31463839744.00,173987.47,79364243456.00,8000141824.00,288535817,89003170,1795040,242007,148,0,89000779
sorted02/part01,2,275.13,0,31246241792.00,1013149.31,81034731520.00,13364198400.00,276994715,89006101,2740476,4449138,2,0,89001756
sorted02/part02,2,275.13,1,30280583168.00,167778.31,90795737088.00,16718215168.00,282851443,89001675,4484443,6405985,5,0,89000270
skew04/part01,4,313.34,0,33555830784.00,761208.44,102258900992.00,7659506688.00,156237020,44502372,4450521,275557,118,0,44500642
skew04/part02,4,313.34,1,34028224512.00,1353703.75,98224775168.00,7560557056.00,156225633,44501988,4057816,285066,83,0,44500517
skew04/part03,4,313.34,2,32589115392.00,549187.38,103979098112.00,7741614592.00,156056711,44501216,4260829,278692,61,0,44500261
skew04/part04,4,313.34,3,33032605696.00,844922.81,102853468160.00,7714636288.00,156365497,44502165,4229333,261157,77,0,44500576
sorted04/part01,4,284.85,0,36425781248.00,1518215.12,101722546176.00,23896561664.00,140211587,44501514,5481309,11120097,13,0,44500358
sorted04/part02,4,284.85,1,38497030144.00,3996932.00,99145670656.00,16790854656.00,135450297,44504361,5588504,6955431,0,0,44501308
sorted04/part03,4,284.85,2,37235011584.00,617022.69,100332224512.00,21675888640.00,140191526,44500496,4942824,9946112,29,0,44500023
sorted04/part04,4,284.85,3,35523219456.00,728284.19,94610358272.00,21910798336.00,139627638,44501100,4937022,10432733,16,0,44500221
skew08/part01,8,264.80,0,35496235008.00,4064057.75,104061255680.00,6795499520.00,78782436,22251000,6852089,325714,58,0,22250259
skew08/part02,8,264.80,1,36967477248.00,4420931.00,104552800256.00,6773558272.00,78758407,22251089,6179811,329427,47,0,22250284
skew08/part03,8,264.80,2,33227925504.00,4910984.50,109950746624.00,6658467328.00,78405779,22251768,5292487,305350,57,0,22250516
skew08/part04,8,264.80,3,33891948544.00,2418261.50,103105994752.00,6831711744.00,77933815,22250569,7501349,365221,19,0,22250113
skew08/part05,8,264.80,4,33912274944.00,1916959.25,107845050368.00,6611488768.00,78351375,22250575,5333727,293068,31,0,22250114
skew08/part06,8,264.80,5,33730209792.00,2767390.00,104144494592.00,6852062208.00,78092634,22250772,7554420,343194,29,0,22250179
skew08/part07,8,264.80,6,34347198464.00,3292983.00,102333923328.00,7233773056.00,78000966,22250864,6950961,327028,38,0,22250208
skew08/part08,8,264.80,7,34547380224.00,4320570.50,103114883072.00,7361687552.00,78072218,22251222,6779112,341399,53,0,22250331
sorted08/part01,8,280.10,0,37361586176.00,2328141.75,102767116288.00,39308771328.00,72007724,22250788,6276800,11267594,40,0,22250183
sorted08/part02,8,280.10,1,37916180480.00,1288665.00,100428177408.00,41987264512.00,72876409,22250726,6947433,13081169,44,0,22250156
sorted08/part03,8,280.10,2,36779622400.00,4593472.00,97823842304.00,41086545920.00,71424594,22251733,7031616,12121142,27,0,22250500
sorted08/part04,8,280.10,3,37066149888.00,1343850.00,91376869376.00,32622252032.00,66793336,22250405,7120655,8301012,5,0,22250045
sorted08/part05,8,280.10,4,39416750080.00,1830530.88,102667649024.00,40681811968.00,72298700,22250419,4846178,11503772,23,0,22250064
sorted08/part06,8,280.10,5,37735690240.00,1174922.75,100612792320.00,41846173696.00,72871773,22250426,6909131,13129064,30,0,22250063
sorted08/part07,8,280.10,6,37764091904.00,2443738.75,99409715200.00,38354624512.00,71520109,22250892,7010862,11324565,15,0,22250202
sorted08/part08,8,280.10,7,40264667136.00,12757127.00,95409356800.00,33107560448.00,66799718,22252724,4851795,8524166,0,0,22250823
skew16/part01,16,263.04,0,48744751104.00,1442511.88,144151445504.00,3238451712.00,39460221,11125506,16199973,192573,31,0,11125130
skew16/part02,16,263.04,1,48680386560.00,1207291.75,147320553472.00,3249689344.00,38934796,11125494,16577018,203743,26,0,11125120
skew16/part03,16,263.04,2,47307964416.00,1391398.00,142028619776.00,3284343296.00,38811198,11125468,16844908,190570,32,0,11125116
skew16/part04,16,263.04,3,46277947392.00,1419691.00,144181067776.00,3243572992.00,38561839,11125737,17231629,213835,29,0,11125203
skew16/part05,16,263.04,4,49645629440.00,3042542.50,148925464576.00,3362816512.00,39013940,11125842,17235361,240023,43,0,11125238
skew16/part06,16,263.04,5,50312802304.00,1800796.00,151356243968.00,3375029504.00,39094891,11125887,17021586,240704,36,0,11125254
skew16/part07,16,263.04,6,47678685184.00,826541.88,138310762496.00,3630291456.00,38849016,11125333,16148849,200218,15,0,11125070
skew16/part08,16,263.04,7,51103137792.00,667374.06,145428692992.00,3433445376.00,38811607,11125192,14003275,190234,12,0,11125025
skew16/part09,16,263.04,8,48625016832.00,775024.94,139642191872.00,3638969088.00,38979879,11125300,15995148,199653,11,0,11125058
skew16/part10,16,263.04,9,51936354304.00,931266.12,148093796352.00,3390995200.00,39078326,11125267,13487103,170220,12,0,11125048
skew16/part11,16,263.04,10,48565895168.00,686073.25,140498862080.00,3468892928.00,39535073,11125335,15411075,181089,14,0,11125072
skew16/part12,16,263.04,11,49278464000.00,1003517.38,141697974272.00,3467692032.00,39691135,11125396,15423760,181072,19,0,11125093
skew16/part13,16,263.04,12,49297620992.00,1337851.38,145870929920.00,3353896448.00,38581023,11125427,14022874,177340,18,0,11125102
skew16/part14,16,263.04,13,47703740416.00,1613418.00,138791256064.00,3576276480.00,38868116,11125615,16084751,177863,30,0,11125166
skew16/part15,16,263.04,14,48492834816.00,1832582.50,140871254016.00,3515874560.00,39477925,11125556,15503349,169692,31,0,11125144
skew16/part16,16,263.04,15,51244625920.00,1598496.38,148061847552.00,3419475712.00,39021883,11125553,12952563,155016,20,0,11125143
sorted16/part01,16,323.46,0,52614930432.00,396146.69,149060763648.00,72831483904.00,37504486,11125292,14876509,13410304,17,0,11125050
sorted16/part02,16,323.46,1,54004203520.00,1783587.75,145846435840.00,73013059584.00,35889376,11125735,15771079,15326208,16,0,11125198
sorted16/part03,16,323.46,2,50900008960.00,658566.69,143199404032.00,73853026304.00,36256582,11125362,17351309,15829198,20,0,11125072
sorted16/part04,16,323.46,3,51864592384.00,728811.56,149802123264.00,73110896640.00,37544278,11125429,14576162,13912309,40,0,11125096
sorted16/part05,16,323.46,4,51564601344.00,1000646.50,151002808320.00,73441419264.00,37551804,11125616,14529090,14590194,25,0,11125158
sorted16/part06,16,323.46,5,55271710720.00,7231150.00,140938608640.00,66985443328.00,32971235,11127183,14525325,14897687,0,0,11125636
sorted16/part07,16,323.46,6,52712730624.00,465697.28,141978599424.00,73201541120.00,37304238,11125162,14351417,13093508,8,0,11125014
sorted16/part08,16,323.46,7,53917347840.00,207443.47,137600073728.00,67598643200.00,34411773,11125122,16763658,13606526,7,0,11125003
