Type,Threads,Total-Time,Thread-Id,Thread-Time,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
distinctset/rand01/part01,1,356.39,0,354.83,10329327616.00,57883.24,55892299776.00,9901157376.00,543111488,136073391,0,0,0,0,135972893
distinctset/sort01/part01,1,167.79,0,166.32,10296921088.00,59984.58,39508615168.00,9894821888.00,537939127,136123011,0,0,0,0,135989433
distinctset/rand02/part01,2,200.21,0,197.92,10917492736.00,98543.55,35564322816.00,5030849536.00,271554311,68037111,420845,12419,0,0,67986577
distinctset/rand02/part02,2,200.21,1,199.02,11492770816.00,86074.12,36107698176.00,5042216960.00,271560398,68036331,137154,14588,0,0,67986316
distinctset/sort02/part01,2,118.51,0,117.22,11190351872.00,3172.79,36301582336.00,6177326592.00,268967169,68053517,49817,992048,0,0,67988880
distinctset/sort02/part02,2,118.51,1,117.24,10858344448.00,633165.88,36966084608.00,6451424256.00,269000053,68092444,53120,1113238,0,0,68000543
distinctset/rand04/part01,4,114.31,0,113.06,8394306048.00,141866.08,22538702848.00,2765201408.00,135789434,34018429,1126810,19763,0,0,33993237
distinctset/rand04/part02,4,114.31,1,112.89,8393623552.00,138826.72,22481571840.00,2755597312.00,135793223,34017972,1098110,15820,0,0,33993089
distinctset/rand04/part03,4,114.31,2,112.87,8452264960.00,136168.41,22500962304.00,2755923712.00,135760975,34018889,1194770,22667,0,0,33993389
distinctset/rand04/part04,4,114.31,3,113.21,8421578240.00,143266.02,22542817280.00,2766421248.00,135760580,34017586,1191914,22070,0,0,33992956
distinctset/sort04/part01,4,82.00,0,80.84,7408934912.00,0.00,29002039296.00,3094365184.00,134442648,33980661,3464539,179769,0,0,33980661
distinctset/sort04/part02,4,82.00,1,80.79,7240490496.00,0.00,28644485120.00,3373708800.00,134576864,33980661,2272616,375155,0,0,33980661
distinctset/sort04/part03,4,82.00,2,80.83,7195817984.00,0.00,28830494720.00,3366411008.00,134577932,33980661,3104916,406052,0,0,33980661
distinctset/sort04/part04,4,82.00,3,80.77,7333363200.00,3130086.00,28665708544.00,3010219008.00,134582187,34172556,3278212,104856,0,0,34044626
distinctset/rand08/part01,8,68.97,0,67.39,7978948608.00,321634.09,16192719872.00,1555853312.00,67887205,17009343,2117954,26398,0,0,16996648
distinctset/rand08/part02,8,68.97,1,67.73,7848618496.00,284840.81,16128708608.00,1571254656.00,67889276,17009276,2147300,24699,0,0,16996631
distinctset/rand08/part03,8,68.97,2,67.81,7955040256.00,244166.38,16210545664.00,1574378752.00,67886897,17008788,2749869,28847,0,0,16996466
distinctset/rand08/part04,8,68.97,3,67.49,8186335232.00,289464.97,16328921088.00,1560290560.00,67886851,17009222,2268798,31099,0,0,16996611
distinctset/rand08/part05,8,68.97,4,67.84,7838824960.00,252882.91,16133606400.00,1571690240.00,67887153,17008867,2148397,28473,0,0,16996495
distinctset/rand08/part06,8,68.97,5,67.32,8191456256.00,266249.09,16331230208.00,1540048512.00,67887002,17009127,2316383,23408,0,0,16996579
distinctset/rand08/part07,8,68.97,6,67.13,8251652608.00,290285.81,16675821568.00,1574274048.00,67891522,17009870,2832773,21493,0,0,16996826
distinctset/rand08/part08,8,68.97,7,66.79,8407452672.00,367616.94,16748712960.00,1559224448.00,67891056,17010030,2492199,24267,0,0,16996883
distinctset/sort08/part01,8,68.40,0,45.78,7682906112.00,3963566.75,16191663104.00,1663047168.00,67168177,17144551,3583141,20685,0,0,17041737
