Type,Threads,Total-Time,Thread-Id,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
largeset/skew01/part01,1,1217.24,0,57526349824.00,49355.47,228770529280.00,56533864448.00,2919263979,752514221,0,0,0,0,752501567
largeset/skew02/part01,2,1311.95,0,132399800320.00,192068.34,350498619392.00,32266223616.00,1453960088,376257590,10104127,534325,0,0,376250931
largeset/skew02/part02,2,1311.95,1,142820032512.00,224635.09,370887688192.00,32248168448.00,1455645795,376256826,4946177,358423,0,0,376250678
largeset/skew04/part01,4,1424.65,0,166263111680.00,1856340.38,453967282176.00,34203101184.00,729064592,188128757,15778556,887652,0,0,188125446
largeset/skew04/part02,4,1424.65,1,168124268544.00,1439386.88,444488122368.00,33464256512.00,728958000,188128490,14587601,854008,0,0,188125360
largeset/skew04/part03,4,1424.65,2,165411815424.00,2339380.50,438636773376.00,33399128064.00,728903073,188128543,15469540,875646,0,0,188125375
largeset/skew04/part04,4,1424.65,3,164070342656.00,1741822.50,444314058752.00,33532026880.00,728233213,188128767,14524304,868723,0,0,188125450
largeset/skew08/part01,8,1092.43,0,154445266944.00,4136079.00,412897673216.00,26748788736.00,365301200,94065205,24827326,1103872,0,0,94062995
largeset/skew08/part02,8,1092.43,1,158951342080.00,2213207.25,417265483776.00,26407290880.00,365251080,94063635,22118069,1045436,0,0,94062473
largeset/skew08/part03,8,1092.43,2,158977638400.00,3130883.00,414725046272.00,26259699712.00,365364244,94063851,23385058,1114602,0,0,94062543
largeset/skew08/part04,8,1092.43,3,157708763136.00,6062279.50,412178513920.00,26751891456.00,365449653,94064716,23867375,1105745,0,0,94062834
largeset/skew08/part05,8,1092.43,4,154420002816.00,4652729.00,408862654464.00,26232156160.00,365321695,94064619,24602126,965565,0,0,94062799
largeset/skew08/part06,8,1092.43,5,157855563776.00,1977763.75,409225330688.00,26427766784.00,365264227,94063231,23504997,1116816,0,0,94062339
largeset/skew08/part07,8,1092.43,6,154530824192.00,3622886.25,406719660032.00,26164062208.00,364418638,94064315,23701126,1284452,0,0,94062697
largeset/skew08/part08,8,1092.43,7,154658832384.00,3277354.75,407685169152.00,26298902528.00,364318891,94064363,24015108,1258192,0,0,94062711
largeset/skew16/part01,16,975.91,0,221841276928.00,1283865.50,456807809024.00,13127120896.00,183708505,47032130,45615728,754014,0,0,47031338
largeset/skew16/part02,16,975.91,1,228653481984.00,2804325.00,476514582528.00,15548520448.00,184104226,47032745,43720118,872831,0,0,47031545
largeset/skew16/part03,16,975.91,2,231428898816.00,911354.31,468227457024.00,15459131392.00,183174510,47031785,43192107,809759,0,0,47031224
largeset/skew16/part04,16,975.91,3,214115663872.00,1402165.25,449398931456.00,12820501504.00,183109122,47032439,43873626,778558,0,0,47031441
largeset/skew16/part05,16,975.91,4,217757663232.00,1315765.50,440479973376.00,12596319232.00,182938573,47031951,47468282,822555,0,0,47031280
largeset/skew16/part06,16,975.91,5,218782793728.00,1055277.62,454597214208.00,12928173056.00,183259665,47031962,43710851,770040,0,0,47031283
largeset/skew16/part07,16,975.91,6,213460533248.00,945088.56,426240442368.00,15091791872.00,183278841,47032133,44173183,738864,0,0,47031342
largeset/skew16/part08,16,975.91,7,215107764224.00,1217459.62,433483808768.00,15374559232.00,183081390,47032591,42773166,843079,0,0,47031495
largeset/skew16/part09,16,975.91,8,214751117312.00,2235979.50,429703200768.00,14762195968.00,183317986,47032349,36784630,616995,0,0,47031413
largeset/skew16/part10,16,975.91,9,211261358080.00,802777.88,421109923840.00,14826032128.00,183254339,47032035,43864910,663585,0,0,47031307
largeset/skew16/part11,16,975.91,10,213519925248.00,350815.28,424472772608.00,14618473472.00,183224739,47031425,43083799,873009,0,0,47031104
largeset/skew16/part12,16,975.91,11,218358513664.00,585501.12,431036596224.00,14593159168.00,183126423,47031847,40816576,801911,0,0,47031245
largeset/skew16/part13,16,975.91,12,212407451648.00,1215724.50,423490093056.00,14440399872.00,183074862,47032150,42740955,782515,0,0,47031340
largeset/skew16/part14,16,975.91,13,213772877824.00,1172289.75,431050653696.00,15056503808.00,183155301,47032256,37067455,770751,0,0,47031381
largeset/skew16/part15,16,975.91,14,212927938560.00,1705011.25,429325582336.00,15966343168.00,183423443,47032400,36250133,689807,0,0,47031426
largeset/skew16/part16,16,975.91,15,212627849216.00,1866189.75,422566559744.00,15077454848.00,183137420,47032350,42282379,718302,0,0,47031411
largeset/skew32/part01,32,1894.56,0,1133263323136.00,2007700.88,1428185022464.00,4958810112.00,91515558,23516093,142340489,244679,0,0,23515678
largeset/skew32/part02,32,1894.56,1,1155728146432.00,1981417.50,1440978436096.00,4839741440.00,91887497,23516183,163805029,271067,0,0,23515708
largeset/skew32/part03,32,1894.56,2,1077224996864.00,4810955.00,1365182906368.00,5061046784.00,91899127,23516897,154744096,275185,0,0,23515944
largeset/skew32/part04,32,1894.56,3,1125042618368.00,1836550.38,1418465771520.00,5051478528.00,91542385,23515868,143604173,267880,0,0,23515603
largeset/skew32/part05,32,1894.56,4,1136562012160.00,1186211.25,1422315487232.00,4802275840.00,92033225,23515845,150478514,248783,0,0,23515596
largeset/skew32/part06,32,1894.56,5,1039670640640.00,1513293.25,1333960245248.00,4881510912.00,91545507,23515965,140864549,232900,0,0,23515634
largeset/skew32/part07,32,1894.56,6,1136778543104.00,1106670.88,1415394230272.00,4913090048.00,91945504,23516035,156476882,248253,0,0,23515660
largeset/skew32/part08,32,1894.56,7,1192792948736.00,1144166.25,1474376761344.00,5416606720.00,91993374,23515989,162021605,271675,0,0,23515645
largeset/skew32/part09,32,1894.56,8,1155343581184.00,1302281.75,1446193528832.00,5434542080.00,91980028,23516048,146671222,272577,0,0,23515664
largeset/skew32/part10,32,1894.56,9,1176378408960.00,2744558.75,1460432142336.00,5672222208.00,91403001,23515928,144035431,294745,0,0,23515624
largeset/skew32/part11,32,1894.56,10,1153394540544.00,1118761.12,1442193473536.00,5367575552.00,91687193,23515885,145852347,261942,0,0,23515610
largeset/skew32/part12,32,1894.56,11,1060003446784.00,1044522.94,1350112116736.00,5132310528.00,91482976,23515912,140673043,232412,0,0,23515619
largeset/skew32/part13,32,1894.56,12,1163796021248.00,1711981.25,1453266567168.00,5555083264.00,91825980,23516210,145020730,247892,0,0,23515720
largeset/skew32/part14,32,1894.56,13,1099887017984.00,2177832.00,1390013317120.00,5812762112.00,91827654,23516210,136716269,265632,0,0,23515715
largeset/skew32/part15,32,1894.56,14,1160644919296.00,1308053.25,1447410139136.00,5680757248.00,91876695,23516101,136149204,280335,0,0,23515678
largeset/skew32/part16,32,1894.56,15,1175223009280.00,969197.06,1462382624768.00,5534461952.00,92019204,23516335,147252145,313541,0,0,23515761
largeset/skew32/part17,32,1894.56,16,1150661296128.00,2640285.75,1433952321536.00,5509831680.00,91312980,23516145,135546915,232573,0,0,23515696
largeset/skew32/part18,32,1894.56,17,1081488310272.00,1548535.00,1357506805760.00,5026895360.00,92084401,23516039,141119667,234223,0,0,23515662
largeset/skew32/part19,32,1894.56,18,1149127098368.00,2688265.00,1436401795072.00,5536886784.00,91118949,23516214,137157935,238116,0,0,23515716
largeset/skew32/part20,32,1894.56,19,1150570856448.00,2473203.50,1440718913536.00,5474714624.00,91990794,23516109,146239525,222678,0,0,23515685
largeset/skew32/part21,32,1894.56,20,1162465378304.00,982262.50,1444763926528.00,5328627712.00,91450068,23515654,146513185,313515,0,0,23515534
largeset/skew32/part22,32,1894.56,21,1178220363776.00,498486.88,1461219360768.00,5359461888.00,92150278,23515732,145442449,304665,0,0,23515560
largeset/skew32/part23,32,1894.56,22,1161581821952.00,1201306.25,1448906981376.00,4994919424.00,91923273,23515964,143443882,282294,0,0,23515638
largeset/skew32/part24,32,1894.56,23,1140104232960.00,2001618.88,1431254466560.00,5510225920.00,91588351,23516014,151936279,263911,0,0,23515655
largeset/skew32/part25,32,1894.56,24,1107896172544.00,873773.12,1383663009792.00,4221242368.00,91206392,23515923,165448533,290634,0,0,23515620
