Type,Threads,Total-Time,Thread-Id,Thread-Time,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
largeset/skew01/part01,1,1209.33,0,1206.57,57336705024.00,48109.78,229785993216.00,55115730944.00,2919263979,752514221,0,0,0,0,752501567
largeset/skew02/part01,2,747.43,0,730.91,60264914944.00,161540.97,172294717440.00,28666003456.00,1450581130,376257303,4518572,535792,0,0,376250836
largeset/skew02/part02,2,747.43,1,745.48,59874398208.00,246514.94,173808828416.00,28759306240.00,1451553651,376257341,2949417,495224,0,0,376250847
largeset/skew04/part01,4,470.43,0,468.85,50491379712.00,608047.50,132124483584.00,16513189888.00,727977887,188129032,14143015,846731,0,0,188125533
largeset/skew04/part02,4,470.43,1,460.91,49571168256.00,728257.12,129373077504.00,16498309120.00,727729335,188128770,17528256,904259,0,0,188125446
largeset/skew04/part03,4,470.43,2,464.40,49619369984.00,746286.25,129799471104.00,16654607360.00,727928311,188128336,10831711,863619,0,0,188125300
largeset/skew04/part04,4,470.43,3,467.88,49188937728.00,596003.62,129920262144.00,16704180224.00,727987563,188128641,10591646,892166,0,0,188125402
largeset/skew08/part01,8,336.46,0,329.93,51310559232.00,481971.09,124248940544.00,9965343744.00,365669971,94064982,30057955,959542,0,0,94062915
largeset/skew08/part02,8,336.46,1,332.86,52583518208.00,503310.34,124058206208.00,9919649792.00,365668783,94064213,25194000,829502,0,0,94062657
largeset/skew08/part03,8,336.46,2,334.68,52299612160.00,439383.19,124502892544.00,10047491072.00,365851884,94063846,28342533,838511,0,0,94062539
largeset/skew08/part04,8,336.46,3,332.39,53167910912.00,436108.91,125369155584.00,10029168640.00,365825108,94064860,26326331,877375,0,0,94062873
largeset/skew08/part05,8,336.46,4,333.99,52786036736.00,893041.69,123385126912.00,9904600064.00,365878094,94064756,25258371,739722,0,0,94062839
largeset/skew08/part06,8,336.46,5,330.79,51416059904.00,163368.75,124454608896.00,10129340416.00,365548861,94063113,27907269,927076,0,0,94062291
largeset/skew08/part07,8,336.46,6,328.04,51794702336.00,434298.78,125886570496.00,10153218048.00,365678428,94064094,29871975,946379,0,0,94062619
largeset/skew08/part08,8,336.46,7,328.25,51252285440.00,530921.38,126028652544.00,10084008960.00,365573217,94064419,31784890,926330,0,0,94062726
largeset/skew16/part01,16,1336.66,0,1314.79,801501806592.00,1033754.12,1010396626944.00,5894179328.00,183339256,47032267,291655189,193113,0,0,47031382
largeset/skew16/part02,16,1336.66,1,1329.97,817748836352.00,2221626.25,1030497763328.00,5843696128.00,183558995,47032617,290577777,199414,0,0,47031503
largeset/skew16/part03,16,1336.66,2,1296.13,790870032384.00,1042554.56,996997857280.00,5838599680.00,183223990,47031739,292000078,187633,0,0,47031206
largeset/skew16/part04,16,1336.66,3,1209.13,691914276864.00,1272558.88,900922212352.00,5821381632.00,182299323,47032286,275019086,181476,0,0,47031389
largeset/skew16/part05,16,1336.66,4,1247.32,728353472512.00,1538927.00,939543101440.00,5833892352.00,182538003,47032050,279981312,195322,0,0,47031310
largeset/skew16/part06,16,1336.66,5,1303.61,796834136064.00,692253.12,1003442143232.00,5795703808.00,183248307,47031780,292914845,179662,0,0,47031221
largeset/skew16/part07,16,1336.66,6,1333.66,805536858112.00,1150767.50,1016118509568.00,5861125120.00,183645432,47032304,274427962,160573,0,0,47031392
largeset/skew16/part08,16,1336.66,7,1335.23,820986249216.00,1842176.62,1031585398784.00,5838527488.00,183777088,47032684,275084440,179879,0,0,47031523
largeset/skew16/part09,16,1336.66,8,1325.90,815750840320.00,1466065.88,1022589403136.00,5618266112.00,183544947,47032285,278135756,174072,0,0,47031390
largeset/skew16/part10,16,1336.66,9,1335.25,829108846592.00,1477498.50,1038136770560.00,5499148288.00,183774497,47032214,274169568,159980,0,0,47031367
largeset/skew16/part11,16,1336.66,10,1269.63,757683650560.00,333469.53,968657338368.00,5621639168.00,182741387,47031357,273080322,207300,0,0,47031078
largeset/skew16/part12,16,1336.66,11,1228.38,714877632512.00,491439.84,924279832576.00,5622332416.00,182457994,47031821,267036664,196938,0,0,47031234
largeset/skew16/part13,16,1336.66,12,1320.41,816211689472.00,861921.94,1023255314432.00,5586384384.00,183481192,47032047,282545787,188364,0,0,47031308
largeset/skew16/part14,16,1336.66,13,1332.04,828141469696.00,1109716.88,1038047510528.00,5617628160.00,183650856,47032426,276447526,206065,0,0,47031437
largeset/skew16/part15,16,1336.66,14,1331.48,810526769152.00,1178596.00,1019593949184.00,5772667392.00,183510950,47032380,272749155,190781,0,0,47031420
largeset/skew16/part16,16,1336.66,15,1321.92,807700922368.00,1750531.50,1011823345664.00,5751961600.00,183468766,47032397,278350263,181802,0,0,47031423
largeset/skew32/part01,32,1943.23,0,1873.45,1196117065728.00,1643932.75,1487740338176.00,3371732992.00,91589683,23516071,179572589,167192,0,0,23515668
largeset/skew32/part02,32,1943.23,1,1927.76,1263253454848.00,3228351.50,1557382561792.00,3456912384.00,91410953,23516328,179023720,179346,0,0,23515756
largeset/skew32/part03,32,1943.23,2,1920.77,1249526546432.00,6574706.00,1546925768704.00,3478430464.00,91610455,23516901,181667658,192963,0,0,23515946
largeset/skew32/part04,32,1943.23,3,1913.40,1260801753088.00,904349.00,1541632688128.00,3423563776.00,91625813,23515900,180079798,182870,0,0,23515615
largeset/skew32/part05,32,1943.23,4,1929.71,1261715587072.00,1602156.12,1557671968768.00,3447597312.00,90838918,23515811,179952905,175725,0,0,23515584
largeset/skew32/part06,32,1943.23,5,1929.51,1259254185984.00,1672498.12,1556177354752.00,3420484864.00,91608205,23515913,178491410,172164,0,0,23515618
largeset/skew32/part07,32,1943.23,6,1906.26,1229890650112.00,876238.31,1517861339136.00,3516143360.00,91742694,23516131,175772682,167373,0,0,23515692
largeset/skew32/part08,32,1943.23,7,1935.94,1269288009728.00,2065298.38,1561773342720.00,3579160064.00,91565059,23516113,171815092,179756,0,0,23515687
largeset/skew32/part09,32,1943.23,8,1925.28,1237391638528.00,1753029.25,1529218203648.00,3458790400.00,91664734,23516109,169239829,217585,0,0,23515682
largeset/skew32/part10,32,1943.23,9,1918.23,1228548079616.00,3060701.00,1522095095808.00,3451227904.00,91580300,23515916,169007535,233163,0,0,23515618
