Type,Threads,Total-Time,Thread-Id,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
smallset/skew01/part01,1,269.24,0,13594469376.00,47549.32,48515747840.00,13152993280.00,621267229,178007372,0,0,0,0,178001926
smallset/sorted01/part01,1,195.20,0,13465135104.00,46115.69,43602497536.00,13129462784.00,591812300,178010324,0,0,0,0,178002910
smallset/skew02/part01,2,340.17,0,35769384960.00,293148.31,91112710144.00,8197168128.00,291495256,89004382,1594828,201837,0,0,89001185
smallset/skew02/part02,2,340.17,1,35092615168.00,206068.84,88641847296.00,8398131200.00,294305842,89002889,1935562,233221,0,0,89000687
smallset/sorted02/part01,2,293.66,0,35724595200.00,749821.31,89466929152.00,13790523392.00,276352797,89007061,2350000,4005901,0,0,89002080
smallset/sorted02/part02,2,293.66,1,35468640256.00,105747.19,82090786816.00,12543479808.00,282942798,89000493,1389744,2342719,0,0,88999890
smallset/skew04/part01,4,337.29,0,37998305280.00,1695161.50,110262116352.00,8089588736.00,156795679,44502168,5330654,283384,0,0,44500577
smallset/skew04/part02,4,337.29,1,40539975680.00,2180500.00,116810424320.00,8631081984.00,156655548,44502258,5501077,289792,0,0,44500611
smallset/skew04/part03,4,337.29,2,42087464960.00,1081960.88,113107910656.00,8462268928.00,155562134,44501127,4236971,291379,0,0,44500229
smallset/skew04/part04,4,337.29,3,39432429568.00,1775017.38,110133878784.00,8163662848.00,156905213,44502176,4936942,266203,0,0,44500583
smallset/sorted04/part01,4,290.94,0,42363965440.00,931762.94,99393921024.00,27228919808.00,140165013,44500876,7184792,10749284,0,0,44500148
smallset/sorted04/part02,4,290.94,1,44788170752.00,2368482.00,102215680000.00,27259869184.00,141296091,44502187,5734464,10215375,0,0,44500588
smallset/sorted04/part03,4,290.94,2,42972688384.00,3813506.00,98218180608.00,21447897088.00,136716420,44503714,4947020,7020447,0,0,44501099
smallset/sorted04/part04,4,290.94,3,42067640320.00,1139333.88,95123554304.00,25247236096.00,142737182,44501131,5060869,8602982,0,0,44500233
smallset/skew08/part01,8,265.50,0,35661516800.00,1787501.50,104749465600.00,6753723904.00,78280739,22250877,8091902,355176,0,0,22250214
smallset/skew08/part02,8,265.50,1,36264116224.00,2904601.75,114840166400.00,6656872448.00,78315891,22251166,6088178,327048,0,0,22250312
smallset/skew08/part03,8,265.50,2,35150692352.00,4472710.50,103124090880.00,6682326016.00,78317755,22251808,7468837,348290,0,0,22250524
smallset/skew08/part04,8,265.50,3,36976508928.00,1966936.38,113414660096.00,6638704128.00,78183421,22250571,5935470,348488,0,0,22250113
smallset/skew08/part05,8,265.50,4,35884695552.00,1834900.38,104535760896.00,6787213312.00,78156070,22250559,7981844,365684,0,0,22250109
smallset/skew08/part06,8,265.50,5,37652119552.00,4373797.00,106614333440.00,6600822784.00,78627314,22250645,6755771,314925,0,0,22250141
smallset/skew08/part07,8,265.50,6,38105948160.00,4251605.50,106026582016.00,7218204160.00,78341793,22251047,6823624,317522,0,0,22250270
smallset/skew08/part08,8,265.50,7,36694474752.00,3640026.50,104275730432.00,7209816064.00,78031198,22251172,7408877,314597,0,0,22250313
smallset/sorted08/part01,8,290.41,0,39225323520.00,1631469.25,97080254464.00,58345881600.00,70819402,22250774,7179349,18201496,0,0,22250176
smallset/sorted08/part02,8,290.41,1,40343932928.00,2676432.75,98191015936.00,60599623680.00,70457567,22251103,6777361,18646586,0,0,22250280
